구분,신고(발견),확진,시도,시군구,읍면,리,세부주소,위도,경도,개체구분,위도_clean,경도_clean,geometry,시도_시군구
1319,2021-04-09,2021-04-11,강원도,인제군,남면,어론리,산337,37.940992,128.0475,폐사체,,,POINT (128.0475 37.940992),강원도 인제군
1320,2021-04-09,2021-04-11,강원도,인제군,남면,어론리,산340,37.943355,128.047622,폐사체,,,POINT (128.047622 37.943355),강원도 인제군
1321,2021-04-11,2021-04-12,강원도,춘천시,남산면,방하리,산95-1,37.800323,127.549312,폐사체,,,POINT (127.549312 37.800323),강원도 춘천시
1322,2021-04-12,2021-04-13,강원도,화천군,상서면,다목리,산1-1,38.168425,127.568479,폐사체,,,POINT (127.568479 38.168425),강원도 화천군
1323,2021-04-11,2021-04-13,경기도,포천시,관인면,사정리,산251,38.115232,127.244836,폐사체,,,POINT (127.244836 38.115232),경기도 포천시
1324,2021-04-12,2021-04-13,경기도,연천군,연천읍,차탄리,산80,38.080611,127.066951,폐사체,,,POINT (127.066951 38.080611),경기도 연천군
1325,2021-04-12,2021-04-13,경기도,연천군,군남면,옥계리,560-1,38.1241,127.042604,폐사체,,,POINT (127.042604 38.1241),경기도 연천군
1326,2021-04-12,2021-04-13,강원도,춘천시,남산면,방하리,산95-1,37.777456,127.561091,폐사체,,,POINT (127.561091 37.777456),강원도 춘천시
1327,2021-04-12,2021-04-13,강원도,춘천시,남산면,백양리,산23,37.831219,127.562114,폐사체,,,POINT (127.562114 37.831219),강원도 춘천시
1328,2021-04-13,2021-04-14,경기도,연천군,신서면,내산리,산52,38.14715,127.131004,폐사체,,,POINT (127.131004 38.14715),경기도 연천군
1329,2021-04-13,2021-04-14,경기도,연천군,청산면,백의리,산94,38.011747,127.123649,폐사체,,,POINT (127.123649 38.011747),경기도 연천군
1330,2021-04-13,2021-04-14,강원도,화천군,화천읍,동촌리,152,38.131427,127.798336,폐사체,,,POINT (127.798336 38.131427),강원도 화천군
1331,2021-04-12,2021-04-14,강원도,춘천시,남면,가정리,240,37.772013,127.5676,폐사체,,,POINT (127.5676 37.772013),강원도 춘천시
1332,2021-04-12,2021-04-14,강원도,춘천시,남면,가정리,산134,37.771116,127.5655326,폐사체,,,POINT (127.5655326 37.771116),강원도 춘천시
1333,2021-04-12,2021-04-14,강원도,춘천시,남면,가정리,산133,37.771587,127.56937,폐사체,,,POINT (127.56937 37.771587),강원도 춘천시
1334,2021-04-12,2021-04-14,강원도,춘천시,남면,가정리,산134,37.77128,127.568631,폐사체,,,POINT (127.568631 37.77128),강원도 춘천시
1335,2021-04-14,2021-04-15,강원도,화천군,화천읍,풍산리,산161,38.11501,127.737813,폐사체,,,POINT (127.737813 38.11501),강원도 화천군
1336,2021-04-14,2021-04-15,강원도,춘천시,남산면,방하리,산95-1,37.78987,127.567179,폐사체,,,POINT (127.567179 37.78987),강원도 춘천시
1337,2021-04-14,2021-04-15,강원도,춘천시,남산면,방하리,산95-1,37.776448,127.557008,폐사체,,,POINT (127.557008 37.776448),강원도 춘천시
1338,2021-04-14,2021-04-15,강원도,춘천시,남산면,방하리,산126,37.781976,127.541668,폐사체,,,POINT (127.541668 37.781976),강원도 춘천시
1339,2021-04-14,2021-04-15,강원도,춘천시,남산면,방하리,산95-1,37.789769,127.566751,폐사체,,,POINT (127.566751 37.789769),강원도 춘천시
1340,2021-04-13,2021-04-15,강원도,춘천시,남산면,백양리,산78,37.819674,127.576319,폐사체,,,POINT (127.576319 37.819674),강원도 춘천시
1341,2021-04-14,2021-04-15,경기도,연천군,신서면,내산리,산52,38.143662,127.128625,폐사체,,,POINT (127.128625 38.143662),경기도 연천군
1342,2021-04-14,2021-04-15,경기도,포천시,관인면,사정리,산251,38.114947,127.243961,폐사체,,,POINT (127.243961 38.114947),경기도 포천시
1343,2021-04-06,2021-04-15,경기도,포천시,이동면,장암리,산75,38.019829,127.414365,폐사체,,,POINT (127.414365 38.019829),경기도 포천시
1344,2021-04-14,2021-04-16,강원도,인제군,남면,어론리,산329,37.946572,128.044175,폐사체,,,POINT (128.044175 37.946572),강원도 인제군
1345,2021-04-15,2021-04-16,경기도,연천군,청산면,대전리,산82,37.998851,127.131684,폐사체,,,POINT (127.131684 37.998851),경기도 연천군
